index,name
0,Выбрать
1,Город Москва
2,Город Санкт-Петербург
3,Республика Адыгея
4,Республика Алтай
5,Алтайский Край
6,Амурская Область
7,Архангельская Область
8,Астраханская Область
9,Город Байконур
10,Республика Башкортостан
11,Белгородская Область
12,Брянская Область
13,Республика Бурятия
14,Владимирская Область
15,Волгоградская Область
16,Вологодская Область
17,Воронежская Область
18,Республика Дагестан
19,Еврейская Автономная область
20,Забайкальский Край
21,Ивановская Область
22,Республика Ингушетия
23,Иркутская Область
24,Республика Кабардино-Балкарская
25,Калининградская Область
26,Республика Калмыкия
27,Калужская Область
28,Камчатский Край
29,Республика Карачаево-Черкесская
30,Республика Карелия
31,Кемеровская область - Кузбасс Область
32,Кировская Область
33,Республика Коми
34,Костромская Область
35,Краснодарский Край
36,Красноярский Край
37,Республика Крым
38,Курганская Область
39,Курская Область
40,Ленинградская Область
41,Липецкая Область
42,Магаданская Область
43,Республика Марий Эл
44,Республика Мордовия
45,Московская Область
46,Мурманская Область
47,Ненецкий Автономный округ
48,Нижегородская Область
49,Новгородская Область
50,Новосибирская Область
51,Омская Область
52,Оренбургская Область
53,Орловская Область
54,Пензенская Область
55,Пермский Край
56,Приморский Край
57,Псковская Область
58,Ростовская Область
59,Рязанская Область
60,Самарская Область
61,Саратовская Область
62,Республика Саха /Якутия/
63,Сахалинская Область
64,Свердловская Область
65,Город Севастополь
66,Республика Северная Осетия - Алания
67,Смоленская Область
68,Ставропольский Край
69,Тамбовская Область
70,Республика Татарстан
71,Тверская Область
72,Томская Область
73,Тульская Область
74,Республика Тыва
75,Тюменская Область
76,Республика Удмуртская
77,Ульяновская Область
78,Хабаровский Край
79,Республика Хакасия
80,Ханты-Мансийский Автономный округ - Югра Автономный округ
81,Челябинская Область
82,Республика Чеченская
83,Чувашская Республика - Чувашия
84,Чукотский Автономный округ
85,Ямало-Ненецкий Автономный округ
86,Ярославская Область
